show_id,title,country,release_year,duration(min),listed_in
80158770,The Russian Revolution,United Kingdom,2017,47,Documentaries
70267830,Cutie and the Boxer,United States,2013,82,Documentaries
81147766,Oprah Presents When They See Us Now,United States,2019,61,Documentaries
81070008,Prosecuting Evil: The Extraordinary World of Ben Ferencz,Canada,2019,83,Documentaries
80158580,Amelia: A Tale of Two Sisters,United Kingdom,2017,44,Documentaries
80108609,Betting on Zero,United States,2017,104,Documentaries
80173267,Burlesque: Heart of the Glitter Tribe,United States,2017,76,Documentaries
80158769,How to Stage a Coup,United Kingdom,2017,47,Documentaries
80158579,Jackie: A Tale of Two Sisters,United Kingdom,2017,44,Documentaries
80158581,The Mitfords: A Tale of Two Sisters,United Kingdom,2017,44,Documentaries
80076160,Cristina,United States,2016,40,Documentaries
80195243,Vegas Baby,United States,2016,78,Documentaries
80195835,Diana: 7 Days That Shook the World,United Kingdom,2017,93,Documentaries
80117542,The Great Hack,United States,2019,114,Documentaries
80154884,Theater of Life,Canada,2016,94,Documentaries
80102204,Tony Robbins: I Am Not Your Guru,United States,2016,117,Documentaries
80168188,Chasing Coral,United States,2017,89,Documentaries
80148179,My Scientology Movie,United Kingdom,2015,99,Documentaries
81121172,NOVA: Black Hole Apocalypse,United States,2018,113,Documentaries
81121173,NOVA: Building Chernobyl's MegaTomb,United States,2017,53,Documentaries
81121174,NOVA: Chinese Chariot Revealed,United States,2017,54,Documentaries
81121175,NOVA: Day the Dinosaurs Died,United States,2017,53,Documentaries
81121176,NOVA: Death Dive to Saturn,United States,2017,54,Documentaries
81121177,NOVA: Decoding the Weather Machine,United States,2018,113,Documentaries
81121178,NOVA: Eclipse Over America,United States,2017,53,Documentaries
81121179,NOVA: Extreme Animal Weapons,United States,2017,53,Documentaries
81121180,NOVA: First Face of America,United States,2018,53,Documentaries
81121181,NOVA: Holocaust Escape Tunnel,United States,2017,54,Documentaries
81121182,NOVA: Killer Floods,United States,2017,54,Documentaries
81121183,NOVA: Killer Hurricanes,United States,2017,52,Documentaries
81121184,NOVA: Killer Volcanoes,United States,2017,54,Documentaries
81121185,NOVA: Poisoned Water,United States,2017,54,Documentaries
81121186,NOVA: Prediction by the Numbers,United States,2018,53,Documentaries
81121187,NOVA: Secrets of the Shining Knight,United States,2017,53,Documentaries
81121188,NOVA: Thai Cave Rescue,United States,2018,53,Documentaries
81121189,NOVA: The Impossible Flight,United States,2018,113,Documentaries
80217136,Dream Big: Engineering Our World,United States,2017,42,Documentaries
80213403,Alien Contact: Outer Space,United States,2017,63,Documentaries
80214582,Patient Seventeen,United States,2017,68,Documentaries
80168198,The Force,United States,2017,92,Documentaries
70296733,Mitt,United States,2014,93,Documentaries
81035279,FYRE: The Greatest Party That Never Happened,United States,2019,98,Documentaries
80133139,Enlighten Us,United States,2016,93,Documentaries
81000864,Abducted in Plain Sight,United States,2017,90,Documentaries
80997719,The Devil We Know,United States,2018,88,Documentaries
80216543,Down The Fence,United States,2017,94,Documentaries
80195807,One More Shot,United States,2017,89,Documentaries
81009823,Invisible Essence: The Little Prince,Canada,2018,91,Documentaries
81173792,Betty White: First Lady of Television,United States,2018,56,Documentaries
80190844,AlphaGo,United States,2017,90,Documentaries
80196217,Functional Fitness,United States,2016,106,Documentaries
80197301,Maddman: The Steve Madden Story,United States,2017,78,Documentaries
80196138,Not Alone,United States,2017,50,Documentaries
80174367,Seeing Allred,United States,2018,96,Documentaries
70292939,The Unknown Known,United States,2013,103,Documentaries
70296573,Secrets of the Tower of London,United Kingdom,2013,55,Documentaries
70166234,Being Elmo: A Puppeteer's Journey,United States,2011,76,Documentaries
80223123,A Week in Watts,United States,2017,91,Documentaries
81004511,Studio 54,United States,2018,99,Documentaries
81015076,Behind the Curve,United States,2018,96,Documentaries
80038290,Virunga: Gorillas in Peril,United States,2015,29,Documentaries
81074663,Period. End of Sentence.,United States,2018,26,Documentaries
81037273,14 Minutes from Earth,United States,2016,84,Documentaries
81059656,E-Cigarettes: Miracle or Menace?,United Kingdom,2016,52,Documentaries
80220013,Heal,United States,2017,107,Documentaries
81063084,What Makes a Psychopath?,United Kingdom,2017,52,Documentaries
81059649,Why Are We Getting So Fat?,United Kingdom,2016,50,Documentaries
80205451,42 Grams,United States,2017,81,Documentaries
80141928,Before the Flood,United States,2016,97,Documentaries
70251218,Mortified Nation,United States,2013,84,Documentaries
80217040,National Parks Adventure,United States,2016,42,Documentaries
80168231,Water & Power: A California Heist,United States,2017,78,Documentaries
81003741,The American Meme,United States,2018,98,Documentaries
81212801,The Irishman: In Conversation,United States,2019,24,Documentaries
81045513,Sam Kinison: The Scream Continues,United States,2016,29,Documentaries
81031650,The Bill Murray Stories: Life Lessons Learned From a Mythical Man,United States,2018,72,Documentaries
80190585,Blurred Lines: Inside the Art World,Canada,2017,85,Documentaries
80220761,After Porn Ends 3,United States,2018,87,Documentaries
80182034,Walk with Me,United Kingdom,2017,94,Documentaries
80190840,A Gray State,United States,2017,93,Documentaries
